SAMPLE Pacing Guide for Fall 2026 Seminary,,,,,
"1. Possible learning activities and other resources are found in the Teacher Manual and indicated below (#) for each study.  2. Provide Life Preparation studies (#185-208) in                  any order that seems best for the students. Or, simply go in the order listed in the manual as shown below. [NOTE: #161-184 were taught in the Spring 2026 semester.]",,,,,
Come Follow Me ,Date,Teaching Schedule,Notes / Suggestions,,
Job 1-3;        12-14; 19;    21-24; 38-40; 42,10-Aug,No School,,,
,11-Aug,Job 1-3; 12-13 (#97),,,
,12-Aug,Job 14; 19 (#98) / Job 21-24; 38-40; 42 (#99),,,
,13-Aug,Life Preparation ,#185,,
,14-Aug,,,,
Psalms 1-2; 8; 19-33; 40; 46,17-Aug,Introduction to Psalms - Parts 1&2 (#100-101),,,
,18-Aug,Psalm 23 (#102),,,
,19-Aug,Psalm 24 (#103),,,
,20-Aug,Life Preparation ,#186,,
,21-Aug,,,,
Psalms 49-51; 61-66; 69-72; 77-78; 85-86,24-Aug,Psalm 51 (#104),,,
,25-Aug,Life Preparation ,#187 & #188,,
,26-Aug,Psalms 61-86 (#105),,,
,27-Aug,Doctrinal Mastery Practice 7 (#106),,,
,28-Aug,,,,
Psalms 102-103; 110; 116-119; 127-128; 135-139;       146-150,31-Aug,Psalm 119 (#107),,,
,1-Sep,Psalm 136 (#108),,,
,2-Sep,Life Preparation ,#189,,
,3-Sep,Life Preparation ,#190,,
,4-Sep,,,,
Proverbs      1-4; 15-16; 22; 31; Ecclesiastes 1-3; 11-12,7-Sep,No School,,,
,8-Sep,Introduction to Proverbs (#109),,,
,9-Sep,Proverbs 3 (#110),,,
,10-Sep,Ecclesiastes (#111),And Assess Your Learning 7 (#112),,
,11-Sep,,,,
Isaiah 1-12,14-Sep,Introduction to Isaiah (#113),,,
,15-Sep,Isaiah 1; 5 (#114-115),,,
,16-Sep,Life Preparation ,#191,,
,17-Sep,Isaiah 11-12 (#116),,,
,18-Sep,,,,
Isaiah 13-14; 22; 24-30; 35,21-Sep,Life Preparation ,#192,,
,22-Sep,Isaiah 25 (#117),,,
,23-Sep,Life Preparation ,#193 & #194,,
,24-Sep,Isaiah 29 (#118),,,
,25-Sep,,,,
Isaiah       40-49,28-Sep,Isaiah 40-43 (#119),,,
,29-Sep,Isaiah 44-47 (#120),,,
,30-Sep,Isaiah 49 (#121),And Doctrinal Mastery Practice 8 (#122),,
,1-Oct,Life Preparation ,#205,,
,2-Oct,,,,
Isaiah       50-57,5-Oct,Life Preparation ,#206,,
,6-Oct,Isaiah 51-52 (#123),,,
,7-Oct,Isaiah 53; 54 (#124-125),,,
,8-Oct,Life Preparation ,#195,,
,9-Oct,,,,
Isaiah       58-66,12-Oct,Isaiah 58:1-12 (#126),,,
,13-Oct,Isaiah 58:13-14 (#127),,,
,14-Oct,Isaiah 61; 60-66 (#128-129),,,
,15-Oct,Life Preparation ,#196,,
,16-Oct,,,,
Jeremiah      1-3; 7; 16-18; 20,19-Oct,Jeremiah 1 (#130),,,
,20-Oct,Life Preparation ,#197,,
,14-Mar,Doctrine & Covenants 124:22-83 (TM#132),,,
,15-Mar,Doctrine & Covenants 124:84-145 (TM#133),,,
,21-Oct,Jeremiah 2-3 (#131),,,
,22-Oct,Jeremiah 16 (#132),And Assess Your Learning 8 (#133),,
,23-Oct,,,,
Jeremiah     31-33; 36-38; Lamentations 1;3,26-Oct,Jeremiah 31 (#134),,,
,27-Oct,Jeremiah 36 (#135),,,
,28-Oct,Lamentations 1;3 (#136),And Doctrinal Mastery Practice 9 (#137),,
,29-Oct,Life Preparation ,#198,,
,30-Oct,,,,
Ezekiel 1-3; 33-34; 36-37; 47,2-Nov,Ezekiel 1-3; 33 (#138),,,
,3-Nov,Ezekiel 34 (#139),,,
,4-Nov,Life Preparation ,#199,,
,5-Nov,Ezekiel 37 (#140) / Ezekiel 47 (#141) ,,,
,6-Nov,,,,
Daniel 1-7,9-Nov,Life Preparation ,#200,,
,10-Nov,Daniel 1 (#142) / Daniel 2 (#143),,,
,11-Nov,Daniel 3 (#144),,,
,12-Nov,Daniel 6 (#145),,,
,13-Nov,,,,
Hosea 1-6; 10-14; Joel,16-Nov,Life Preparation ,#201,,
,17-Nov,Hosea (#146),,,
,18-Nov,Joel (#147),,,
,19-Nov,Assess Your Learning 9 (#148),,,
,20-Nov,,,,
Amos; Obadiah; Jonah,23-Nov,Thanksgiving Break (No School),,,
,24-Nov,,,,
,25-Nov,,,,
,26-Nov,,,,
,27-Nov,,,,
Micah; Nahum; Habakkuk; Zephaniah,30-Nov,Life Preparation ,#202,,
,1-Dec,Micah (#152),,,
,2-Dec,Habakkuk (#153),,,
,3-Dec,Doctrinal Mastery Practice 10 (#154),,,
,4-Dec,,,,
Haggai; Zechariah     1-4; 7-14,7-Dec,Life Preparation ,#203 & #204,,
,8-Dec,Haggai (#155),,,
,9-Dec,Zechariah 1-8 (#156),,,
,10-Dec,Zecharaiah 7-14 (#157),,,
,11-Dec,,,,
Malachi,14-Dec,Malachi 3 (#158),,,
,15-Dec,Malachi 4 (#159),,,
,16-Dec,Life Preparation ,#208,,
,17-Dec,Assess Your Learning 10 (#160),,,
,18-Dec,,,,
